#{"t_start": 1693318771.3057616, "env_id": null}
r,l,t
450,42,12.662605
580,16,12.722381
380,56,12.95321
545,23,13.04865
545,23,13.153952
565,19,13.236962
190,83,13.600304
460,40,13.759026
445,43,13.94474
565,19,14.02554
585,15,14.100603
450,42,14.280616
515,29,14.437152
575,17,14.529773
580,16,14.618094
535,25,14.72089
420,48,14.934396
515,29,15.056474
465,39,15.226059
585,15,15.304978
560,20,15.384562
520,28,15.509677
520,28,15.649058
555,21,15.763256
550,22,15.871769
470,38,16.029655
580,16,16.11273
425,47,16.327195
400,52,16.53431
575,17,16.61525
590,14,16.692112
485,35,16.820234
405,51,17.032634
485,35,17.17294
550,22,17.253515
430,46,17.4485
-270,65,17.787246
525,27,17.96852
470,38,18.186251
525,27,18.348475
510,30,18.517888
455,41,18.71501
575,17,18.877263
545,23,19.013803
565,19,19.132939
600,12,19.195704
510,30,19.368292
455,41,19.64738
530,26,19.815845
565,19,19.943502
585,15,20.057835
540,24,20.193428
555,21,20.329007
590,14,20.401391
545,23,20.555362
475,37,20.773269
500,32,20.928488
505,31,21.08389
540,24,21.199924
575,17,21.29615
590,14,21.362055
570,18,21.475921
485,35,21.683533
520,28,21.808164
490,34,22.051106
565,19,22.151792
290,74,22.55242
475,37,22.710881
260,69,34.037791
595,13,34.114216
525,27,34.236412
545,23,34.360313
490,34,34.511428
490,34,34.670514
-220,55,34.935839
-235,58,35.199562
600,12,35.255568
405,51,35.449172
530,26,35.573214
585,15,35.642501
600,12,35.715416
395,53,35.955402
515,29,36.095046
555,21,36.19326
330,66,36.45149
575,17,36.513145
590,14,36.57824
560,20,36.667086
560,20,36.758897
550,22,36.851175
595,13,36.914422
375,57,37.124952
530,26,37.264446
545,23,37.401751
480,36,37.639794
545,23,37.790537
520,28,37.942086
595,13,38.023043
565,19,38.148281
485,35,38.36982
550,22,38.505982
555,21,38.629724
575,17,38.727307
530,26,38.913242
550,22,39.028389
560,20,39.156279
530,26,39.294814
325,67,39.702172
585,15,39.783795
565,19,39.899708
540,24,40.04712
600,12,40.103247
555,21,40.259159
485,35,40.466939
540,24,40.60975
575,17,40.695308
525,27,40.854038
585,15,40.947935
