#{"t_start": 1692018644.9276133, "env_id": null}
r,l,t
20.0,17,12.103042
0.0,18,12.128716
0.0,18,12.12882
-20.0,19,12.141132
-200.0,28,12.171641
-320.0,34,12.194915
-20.0,19,12.213172
-40.0,20,12.234394
-120.0,24,12.255734
-60.0,21,12.299732
-140.0,25,12.310948
-560.0,46,12.324156
-280.0,32,12.333389
-440.0,40,12.342314
-360.0,36,12.365108
-100.0,23,12.386901
60.0,15,12.386974
-240.0,30,12.420146
-240.0,30,12.437175
-60.0,21,12.446941
20.0,17,12.456259
-20.0,19,12.472813
-120.0,24,12.51265
-800.0,58,12.53339
-240.0,30,12.554124
-240.0,30,12.567942
0.0,18,12.578839
20.0,17,12.601729
-460.0,41,12.615049
-20.0,19,12.645652
-1090.0,56,12.656424
-40.0,20,12.690317
-240.0,30,12.690376
-220.0,29,12.721246
-80.0,22,12.74698
-660.0,51,12.774171
-60.0,21,12.802316
-380.0,37,12.827179
40.0,16,12.839123
-240.0,30,12.856073
-780.0,57,12.883362
-680.0,52,12.897874
40.0,16,12.907352
40.0,16,12.938369
-40.0,20,12.938427
-340.0,35,12.957236
60.0,15,12.973663
0.0,18,12.98484
-120.0,24,13.024153
-280.0,32,13.048328
-260.0,31,13.069036
-380.0,37,13.105174
-440.0,40,13.115014
-920.0,64,13.130195
-340.0,35,13.165032
-200.0,28,13.186539
-20.0,19,13.209702
60.0,15,13.223075
-100.0,23,13.271013
-880.0,62,13.286319
-240.0,30,13.300548
-540.0,45,13.323162
-800.0,58,13.336445
-140.0,25,13.37369
-760.0,56,13.373738
80.0,14,13.383926
-120.0,24,13.395169
-40.0,20,13.437003
-60.0,21,13.447526
-600.0,48,13.478814
-1250.0,64,13.493853
-460.0,41,13.528314
-300.0,33,13.5556
-100.0,23,13.567783
40.0,16,13.589477
-760.0,56,13.589542
-420.0,39,13.603649
80.0,14,13.63877
-400.0,38,13.654313
-20.0,19,13.671115
-120.0,24,13.715252
-140.0,25,13.715308
-160.0,26,13.728413
-20.0,19,13.750118
40.0,16,13.761707
40.0,16,13.784686
20.0,17,13.816336
60.0,15,13.830442
-20.0,19,13.857934
-260.0,31,13.882721
20.0,17,13.916881
-140.0,25,13.927763
-120.0,24,13.965891
-720.0,54,13.987018
0.0,18,14.013187
-940.0,65,14.027389
-680.0,52,14.042307
-300.0,33,14.065876
-180.0,27,14.08523
-260.0,31,14.103726
-180.0,27,14.118469
-300.0,33,14.138459
-280.0,32,14.170918
-120.0,24,14.198323
-280.0,32,14.210738
-20.0,19,14.232977
-120.0,24,14.264428
-360.0,36,14.264479
-320.0,34,14.276511
40.0,16,14.327383
-320.0,34,14.339184
-200.0,28,14.363002
-240.0,30,14.376443
-760.0,56,14.400778
-60.0,21,14.427355
-460.0,41,14.454071
-120.0,24,14.471704
-1130.0,73,14.484014
40.0,16,14.497964
-380.0,37,14.512138
0.0,18,14.553651
-100.0,23,14.565629
20.0,17,14.576834
-940.0,65,14.5909
-80.0,22,14.609158
40.0,16,14.64667
-20.0,19,14.666461
-60.0,21,14.678639
-400.0,38,14.690232
