#{"t_start": 1692020210.5754473, "env_id": null}
r,l,t
-160,26,5.97738
-460,41,6.159837
-60,21,6.268202
-140,25,6.378595
120,12,6.441924
-460,41,6.613418
-1020,69,6.855489
20,17,6.917365
-280,32,7.021207
-320,34,7.178813
-40,20,7.280479
-340,35,7.388934
-1110,57,7.640203
0,18,7.737232
40,16,7.822572
-380,37,8.000066
-20,19,8.067308
-120,24,8.169205
-240,30,8.298865
-180,27,8.412564
-320,34,8.582798
-100,23,8.673312
-160,26,8.772534
-20,19,8.87415
-280,32,9.006877
-40,20,9.082064
-200,28,9.200254
-280,32,9.318403
-300,33,9.415082
60,15,9.519885
-740,55,9.737733
-660,51,9.924417
-120,24,10.034448
0,18,10.11208
-280,32,10.260222
-60,21,10.346541
0,18,10.414034
-240,30,10.507314
-80,22,10.628423
-1040,70,10.959847
-420,39,11.157691
-500,43,11.310586
80,14,11.370577
-240,30,11.472287
0,18,11.56835
-100,23,11.716777
-580,47,11.917819
-120,24,12.001613
-300,33,12.12605
40,16,12.209273
-380,37,12.368843
-240,30,12.534447
-80,22,12.62039
80,14,12.691103
-860,61,12.944842
-500,43,13.159838
100,13,13.213781
0,18,13.285959
-300,33,13.447695
-80,22,13.553088
80,14,13.621026
0,18,13.703934
-600,48,13.926778
-200,28,14.044628
-60,21,14.095447
0,18,14.202366
60,15,14.290136
-760,56,14.483075
-160,26,14.593348
60,15,14.656322
-460,41,31.004446
0,18,31.077472
0,18,31.147295
-200,28,31.225683
-120,24,31.310995
-160,26,31.387728
-220,29,31.506573
-380,37,31.641951
-320,34,31.786238
80,14,31.867229
-860,61,32.166299
20,17,32.242236
-280,32,32.370384
-420,39,32.501408
-60,21,32.588452
40,16,32.67062
120,12,32.739247
-1070,55,32.930487
60,15,32.98796
-160,26,33.087658
-40,20,33.164434
-40,20,33.268242
-20,19,33.342027
-1010,67,33.617033
-200,28,33.832473
80,14,33.904283
-920,64,34.179981
-460,41,34.344592
0,18,34.422612
20,17,34.523452
20,17,34.613964
80,14,34.670784
40,16,34.754154
-180,27,34.846401
-20,19,34.954593
40,16,35.02861
-360,36,35.149308
-160,26,35.299164
-100,23,35.420552
-520,44,35.63952
-520,44,35.791032
-560,46,35.966465
-300,33,36.12772
-620,49,36.315516
-480,42,36.461678
0,18,36.544996
20,17,36.607588
-40,20,36.672767
-380,37,36.772905
-20,19,36.845107
-360,36,36.982899
0,18,37.032604
-20,19,37.093427
-680,52,37.264353
-160,26,37.406238
-220,29,37.499072
-220,29,37.589654
-140,25,37.692767
-120,24,37.812681
-760,56,38.045157
-60,21,38.140052
100,13,38.209923
-860,61,38.434689
-100,23,38.521878
-400,38,38.682712
-140,25,38.739687
-140,25,38.846829
-60,21,38.938893
-1400,88,55.265573
0,18,55.343842
-220,29,55.451665
-100,23,55.566424
-540,45,55.757445
-160,26,55.886877
60,15,55.931062
-480,42,56.114712
-240,30,56.223296
60,15,56.305993
-620,49,56.445229
-460,41,56.626993
120,12,56.664504
80,14,56.757406
-120,24,56.87317
-680,52,57.103214
-80,22,57.211057
-1330,83,57.580313
-280,32,57.704887
20,17,57.769639
-280,32,57.927629
-40,20,58.044155
-100,23,58.138683
-80,22,58.245827
-480,42,58.345813
-540,45,58.502198
40,16,58.617294
-20,19,58.682958
-40,20,58.759743
-240,30,58.852171
-40,20,58.956136
80,14,59.024894
-20,19,59.129265
-20,19,59.196017
0,18,59.279767
-300,33,59.435063
-60,21,59.520479
40,16,59.571347
-20,19,59.629953
-260,31,59.767682
-220,29,59.888144
60,15,59.964416
-360,36,60.076435
-180,27,60.188066
-640,50,60.375514
-440,40,60.562337
-520,44,60.718307
-240,30,60.826703
0,18,60.878912
-160,26,60.995103
-80,22,61.09946
-600,48,61.298603
-120,24,61.357836
-80,22,61.457734
20,17,61.535666
-200,28,61.647911
20,17,61.720057
-520,44,61.88706
-240,30,61.989051
100,13,62.077019
-300,33,62.182588
-320,34,62.31419
-260,31,62.458217
-260,31,62.567423
-320,34,62.657156
-380,37,62.784308
-820,59,63.042058
-40,20,63.112033
-180,27,63.234043
-160,26,63.348533
-140,25,63.437842
-340,35,80.20342
-100,23,80.314961
-260,31,80.453392
-60,21,80.573455
-220,29,80.720158
-320,34,80.88349
-100,23,80.989448
-280,32,81.144705
-160,26,81.267624
